Code	Title	Price
NHIA-062-037	NHIA-062-037 - Low Fistulectomy	49000.00
NHIA-062-038	NHIA-062-038 - McIndoe Procedure	49000.00
NHIA-062-039	NHIA-062-039 - Oesophagoscopy	49000.00
NHIA-062-040	NHIA-062-040 - Orchidectomy	49000.00
NHIA-062-041	NHIA-062-041 - Orchidopexy	49000.00
NHIA-062-042	NHIA-062-042 - Papilloma Rectum - Excision	49000.00
NHIA-062-043	NHIA-062-043 - Polypectomy (Cervical)	49000.00
NHIA-062-044	NHIA-062-044 - Rectal polyp	49000.00
NHIA-062-045	NHIA-062-045 - Scrotal Swelling (Multiple) - Excision	49000.00
NHIA-062-046	NHIA-062-046 - Skin Grafting	49000.00
NHIA-062-047	NHIA-062-047 - Submandibular Lymphs - Excision	49000.00
NHIA-062-048	NHIA-062-048 - Suprapubic Cystostomy	49000.00
NHIA-062-049	NHIA-062-049 - Surgery of Torsion of Spermatic Cord	49000.00
NHIA-062-050	NHIA-062-050 - Surgical corrections of Duputytren's contracture	49000.00
NHIA-062-051	NHIA-062-051 - Umbilical Sinus - Excision	49000.00
NHIA-062-052	NHIA-062-052 - Vasectomy	49000.00
NHIA-063-001	NHIA-063-001 - Abdominal Rectopexy	105000.00
NHIA-063-002	NHIA-063-002 - Abdomino-Perineal Resection	105000.00
NHIA-063-003	NHIA-063-003 - Adrenalectomy	105000.00
NHIA-063-004	NHIA-063-004 - Anal Pull Through	105000.00
NHIA-063-005	NHIA-063-005 - Appendicular Abscess - Drainage	105000.00
NHIA-063-006	NHIA-063-006 - Appendicular Perforation	105000.00
NHIA-063-007	NHIA-063-007 - Axillary Dissection of Breast	105000.00
NHIA-063-008	NHIA-063-008 - Biopsy of Retroperitoneal Tumor	105000.00
NHIA-063-009	NHIA-063-009 - Broad Ligament Haematoma Evacuation	105000.00
NHIA-063-010	NHIA-063-010 - Burst Abdomen Repair	105000.00
NHIA-063-011	NHIA-063-011 - Caecopexy	105000.00
NHIA-063-012	NHIA-063-012 - Cavernospongiosum Shunt	105000.00
NHIA-063-013	NHIA-063-013 - Cholecystectomy	105000.00
NHIA-063-014	NHIA-063-014 - Cholecystectomy & Exploration	105000.00
NHIA-063-015	NHIA-063-015 - Choledochal Cystojejunostomy	105000.00
NHIA-063-016	NHIA-063-016 - Choledocho Jejunostomy	105000.00
NHIA-063-017	NHIA-063-017 - Choledochostomy	105000.00
NHIA-063-018	NHIA-063-018 - Closure of Hollow Viscus Perforation	105000.00
NHIA-063-019	NHIA-063-019 - Colectomy-Partial or Total	105000.00
NHIA-063-020	NHIA-063-020 - Colon Reconstruction After Hartmann's Procedure	105000.00
NHIA-063-021	NHIA-063-021 - Colostomy Construction/Closure	105000.00
NHIA-063-022	NHIA-063-022 - Commando Operation	140000.00
NHIA-063-023	NHIA-063-023 - Condilectomy	105000.00
NHIA-063-024	NHIA-063-024 - Continent Ileostomy Pouch	126000.00
NHIA-063-025	NHIA-063-025 - Corporosavenous Shunt	105000.00
NHIA-063-026	NHIA-063-026 - Craniotomy	105000.00
NHIA-063-027	NHIA-063-027 - Cricopharyngeal Myotomy	105000.00
NHIA-063-028	NHIA-063-028 - Cystectomy Partial/Total	105000.00
NHIA-063-029	NHIA-063-029 - Excision of Cystic/Fibrous Dysplasia	105000.00
NHIA-063-030	NHIA-063-030 - Cystolithotomy	105000.00
NHIA-063-031	NHIA-063-031 - Decortication	105000.00
NHIA-063-032	NHIA-063-032 - Diaphragmatic Hernia Repair	105000.00
NHIA-063-033	NHIA-063-033 - Dissection of the Mediastinum	105000.00
NHIA-063-034	NHIA-063-034 - Diverticulectomy	105000.00
NHIA-063-035	NHIA-063-035 - Drainage of Gastric Abscess	105000.00
NHIA-063-036	NHIA-063-036 - Drainage of Hepatic Abscess	105000.00
NHIA-063-037	NHIA-063-037 - Drainage of Subdiaphramatic Abscess	105000.00
NHIA-063-038	NHIA-063-038 - Drainage of Pericardial Effusion	105000.00
NHIA-063-039	NHIA-063-039 - Duodenal Diverticulum	105000.00
NHIA-063-040	NHIA-063-040 - Duodeno- Jejunostomy	105000.00
NHIA-063-041	NHIA-063-041 - Duodenectomy	105000.00
NHIA-063-042	NHIA-063-042 - Ectopic Parathyroidectomy	105000.00
NHIA-063-043	NHIA-063-043 - Encephalocoele Excision	105000.00
NHIA-063-044	NHIA-063-044 - Enterostomy	105000.00
NHIA-063-045	NHIA-063-045 - Excision Meckel’s Diverticulum	105000.00
NHIA-063-046	NHIA-063-046 - Excision of Liver Abscess	105000.00
NHIA-063-047	NHIA-063-047 - Excision of Lymphoedematous Lymph Tissues	105000.00
NHIA-063-048	NHIA-063-048 - Excision of Pelvi-Rectal Fistula	105000.00
NHIA-063-049	NHIA-063-049 - Exploratory Laparatomy/Lysis of Adhesions	105000.00
NHIA-063-050	NHIA-063-050 - Extensive (Small and Large) Bowel Resection and Anastomoses	105000.00
NHIA-063-051	NHIA-063-051 - Fissurectomy and Haemorrhoidectomy	105000.00
NHIA-063-052	NHIA-063-052 - Fissurectomy with Eversion of Sac -	105000.00
NHIA-063-053	NHIA-063-053 - Foreign Body Removal in Deep Region	105000.00
NHIA-063-054	NHIA-063-054 - Fundoplication	105000.00
NHIA-063-055	NHIA-063-055 - Gastrectomy- Partial/Total	105000.00
NHIA-063-056	NHIA-063-056 - Gastroenterostomy	105000.00
NHIA-063-057	NHIA-063-057 - Gastrojejunostomy	105000.00
